# cholesky_benchmark  CHOLESKY_VERSION=2
# hostname=cpu-p-163
# max_threads=56
# sizes=500,1000,2000,4000,8000
# threads=1,2,4,8,16,32,48,56
# repeats=3
version,n,threads,run,time_s,gflops,hostname
2,500,1,0,0.012201423,3.4149,cpu-p-163
2,500,1,1,0.012047996,3.45839,cpu-p-163
2,500,1,2,0.012313704,3.38376,cpu-p-163
2,500,1,-1,0.012201423,3.4149,cpu-p-163
2,500,2,0,0.014354619,2.90267,cpu-p-163
2,500,2,1,0.014336116,2.90641,cpu-p-163
2,500,2,2,0.014137594,2.94722,cpu-p-163
2,500,2,-1,0.014336116,2.90641,cpu-p-163
2,500,4,0,0.010050437,4.14576,cpu-p-163
2,500,4,1,0.010281359,4.05264,cpu-p-163
2,500,4,2,0.010333974,4.03201,cpu-p-163
2,500,4,-1,0.010281359,4.05264,cpu-p-163
2,500,8,0,0.007499453,5.55596,cpu-p-163
2,500,8,1,0.007302174,5.70606,cpu-p-163
2,500,8,2,0.007197281,5.78922,cpu-p-163
2,500,8,-1,0.007302174,5.70606,cpu-p-163
2,500,16,0,0.006774916,6.15014,cpu-p-163
2,500,16,1,0.006886675,6.05033,cpu-p-163
2,500,16,2,0.006983522,5.96643,cpu-p-163
2,500,16,-1,0.006886675,6.05033,cpu-p-163
2,500,32,0,0.008495309,4.90467,cpu-p-163
2,500,32,1,0.008342574,4.99446,cpu-p-163
2,500,32,2,0.008486312,4.90987,cpu-p-163
2,500,32,-1,0.008486312,4.90987,cpu-p-163
2,500,48,0,0.017316106,2.40624,cpu-p-163
2,500,48,1,0.017051287,2.44361,cpu-p-163
2,500,48,2,0.016965688,2.45594,cpu-p-163
2,500,48,-1,0.017051287,2.44361,cpu-p-163
2,500,56,0,0.014122661,2.95034,cpu-p-163
2,500,56,1,0.013863975,3.00539,cpu-p-163
2,500,56,2,0.013872889,3.00346,cpu-p-163
2,500,56,-1,0.013872889,3.00346,cpu-p-163
2,1000,1,0,0.113141818,2.94616,cpu-p-163
2,1000,1,1,0.114163611,2.91979,cpu-p-163
2,1000,1,2,0.11357467,2.93493,cpu-p-163
2,1000,1,-1,0.11357467,2.93493,cpu-p-163
2,1000,2,0,0.087968867,3.78922,cpu-p-163
2,1000,2,1,0.088314539,3.77439,cpu-p-163
2,1000,2,2,0.088830416,3.75247,cpu-p-163
2,1000,2,-1,0.088314539,3.77439,cpu-p-163
2,1000,4,0,0.050454516,6.60661,cpu-p-163
2,1000,4,1,0.05012452,6.65011,cpu-p-163
2,1000,4,2,0.050998328,6.53616,cpu-p-163
2,1000,4,-1,0.050454516,6.60661,cpu-p-163
2,1000,8,0,0.030794035,10.8246,cpu-p-163
2,1000,8,1,0.030426671,10.9553,cpu-p-163
2,1000,8,2,0.030512485,10.9245,cpu-p-163
2,1000,8,-1,0.030512485,10.9245,cpu-p-163
2,1000,16,0,0.021683561,15.3726,cpu-p-163
2,1000,16,1,0.021655705,15.3924,cpu-p-163
